City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,namibe,-15.1961,12.1522,21.87,75,36,2.7,AO,1670261765
84,sobolevo,54.4299,31.8996,-8.4,88,100,4.51,RU,1670261765
85,saskylakh,71.9167,114.0833,-27.78,97,100,6.52,RU,1670261766
86,faya,18.3851,42.4509,15.06,73,4,1.8,SA,1670261767
87,mocuba,-16.8392,36.9856,26.16,65,18,1.98,MZ,1670261767
88,thessalon,46.2501,-83.5666,3.16,63,89,7.15,CA,1670261768
89,glendive,47.1053,-104.7125,-6.4,81,75,4.12,US,1670261469
90,jamestown,42.097,-79.2353,6.68,32,100,3.58,US,1670261769
91,praia,14.9215,-23.5087,26.3,50,40,6.69,CV,1670261769
92,tezu,27.9167,96.1667,16.76,37,0,2.05,IN,1670261770
93,dolores,-36.3132,-57.6792,35.56,24,0,6.43,AR,1670261770
94,menongue,-14.6585,17.691,19.63,73,89,1.51,AO,1670261771
95,adrar,20.5022,-10.0711,25.92,23,33,0.78,MR,1670261638
96,tual,-5.6667,132.75,27.97,71,56,2.62,ID,1670261772
97,bilma,18.6853,12.9164,25.17,17,4,2.21,NE,1670261708
98,scottsbluff,41.8666,-103.6672,4.88,61,0,4.63,US,1670261712
99,duldurga,50.6761,113.5931,-11.32,67,97,10.17,RU,1670261773
100,zhigansk,66.7697,123.3711,-26.89,98,100,0.89,RU,1670261773
101,hithadhoo,-0.6,73.0833,27.59,74,94,3.65,MV,1670261774
102,korla,41.7597,86.1469,-4.78,39,85,2.04,CN,1670261775
103,dori,14.0354,-0.0345,31.98,16,100,3.99,BF,1670261776
104,bredasdorp,-34.5322,20.0403,16.39,61,58,2.45,ZA,1670261776
105,alofi,-19.0595,-169.9187,23.94,94,81,1.03,NU,1670261777
106,bonthe,7.5264,-12.505,27.18,77,83,2.79,SL,1670261777
107,cidreira,-30.1811,-50.2056,23.81,81,74,5.22,BR,1670261778
108,emba,48.8264,58.1442,-10.58,96,100,1.34,KZ,1670261779
109,hobart,-42.8794,147.3294,10.92,77,100,5.66,AU,1670261780
110,san buenaventura,27.0833,-101.5333,20.51,77,20,0.0,MX,1670261780
111,salalah,17.0151,54.0924,24.31,66,0,0.34,OM,1670261690
112,coquimbo,-29.9533,-71.3436,16.85,77,100,5.14,CL,1670261781
113,albany,42.6001,-73.9662,7.19,51,45,1.79,US,1670261782
114,castro,-24.7911,-50.0119,21.41,86,97,3.22,BR,1670261675
115,port elizabeth,-33.918,25.5701,18.94,86,20,5.66,ZA,1670261681
116,fairbanks,64.8378,-147.7164,-12.44,86,75,0.0,US,1670261733
117,haines junction,60.7522,-137.5108,-23.03,77,74,0.51,CA,1670261740
118,bilibino,68.0546,166.4372,-24.49,67,81,2.57,RU,1670261784
119,solenzo,12.1833,-4.0833,31.52,20,83,3.12,BF,1670261785
120,aklavik,68.2191,-135.0107,-26.39,86,37,9.86,CA,1670261785
121,carnarvon,-24.8667,113.6333,20.7,76,20,7.85,AU,1670261786
122,anadyr,64.75,177.4833,-6.72,79,96,12.0,RU,1670261786
123,mujiayingzi,42.1167,118.7833,-10.91,41,18,4.92,CN,1670261787
124,kiama,-34.6833,150.8667,18.54,89,91,4.22,AU,1670261788
125,portland,45.5234,-122.6762,4.39,87,20,3.13,US,1670261746
126,san patricio,28.017,-97.5169,26.02,61,69,6.89,US,1670261789
127,guerrero negro,27.9769,-114.0611,19.5,66,52,6.34,MX,1670261789
128,buraydah,26.326,43.975,19.25,58,100,7.02,SA,1670261790
129,lakes entrance,-37.8811,147.981,13.42,86,100,5.25,AU,1670261790
130,kabanjahe,3.1001,98.4908,16.8,98,100,1.85,ID,1670261791
131,akureyri,65.6835,-18.0878,-4.04,93,100,2.57,IS,1670261792
132,lompoc,34.6391,-120.4579,14.22,93,20,0.45,US,1670261792
133,jalu,29.0331,21.5482,19.71,34,3,3.43,LY,1670261793
134,maracaju,-21.6144,-55.1683,29.69,56,99,2.79,BR,1670261496
135,tilichiki,60.4667,166.1,-13.58,83,99,3.42,RU,1670261794
136,buala,-8.145,159.5921,26.31,84,100,2.81,SB,1670261794
137,penzance,50.1186,-5.5371,7.65,87,75,7.2,GB,1670261795
138,paita,-5.0892,-81.1144,23.82,63,34,5.21,PE,1670261634
139,marawi,7.9986,124.2928,19.89,95,89,0.33,PH,1670261784
140,airai,-8.9266,125.4092,15.27,74,88,0.89,TL,1670261796
141,tiksi,71.6872,128.8694,-24.18,96,100,5.18,RU,1670261713
142,svetlogorsk,52.6333,29.7333,-9.61,85,79,4.31,BY,1670261797
143,ilulissat,69.2167,-51.1,0.01,55,20,0.51,GL,1670261689
144,nikolskoye,59.7035,30.7861,-4.06,96,99,2.63,RU,1670261686
145,stanger,-29.3282,31.2895,19.94,82,93,7.59,ZA,1670261798
146,bucsani,44.8667,25.65,4.95,99,100,1.88,RO,1670261799
147,husavik,66.0449,-17.3389,-0.41,82,65,4.54,IS,1670261799
148,springbok,-29.6643,17.8865,13.6,59,61,5.3,ZA,1670261800
149,lavrentiya,65.5833,-171.0,-5.44,87,34,1.66,RU,1670261801
150,pangnirtung,66.1451,-65.7125,2.0,75,100,6.17,CA,1670261696
151,amparafaravola,-17.5833,48.2167,20.3,86,70,2.41,MG,1670261801
152,yellowknife,62.456,-114.3525,-31.36,68,20,2.24,CA,1670261802
153,qurayyat,31.3318,37.3428,14.1,62,40,4.12,SA,1670261802
154,zyryanka,65.75,150.85,-44.74,98,31,2.28,RU,1670261802
155,kincardine,56.0667,-3.7167,5.55,79,82,1.62,GB,1670261803
156,ixtapa,20.7,-105.2,27.57,57,0,0.0,MX,1670261803
157,saint-philippe,-21.3585,55.7679,24.77,80,81,5.07,RE,1670261804
158,bethel,41.3712,-73.414,8.3,43,0,3.6,US,1670261623
159,doha,25.2867,51.5333,25.94,71,0,2.57,QA,1670261551
160,esperance,-33.8667,121.9,15.8,84,100,3.6,AU,1670261669
161,tarakan,3.3,117.6333,26.48,81,84,1.39,ID,1670261805
162,takab,36.4009,47.1133,-0.25,77,82,1.86,IR,1670261806
163,ketchikan,55.3422,-131.6461,-1.74,93,0,1.54,US,1670261806
164,okha,53.5739,142.9478,-17.95,91,89,6.43,RU,1670261806
165,vila do maio,15.1333,-23.2167,26.44,69,56,4.74,CV,1670261807
166,sorland,67.667,12.6934,4.92,90,100,20.23,NO,1670261807
167,lisakovsk,52.5369,62.4936,-18.62,97,88,2.6,KZ,1670261808
168,puerto escondido,15.85,-97.0667,31.46,58,0,2.06,MX,1670261515
169,la palma,33.8464,-118.0467,17.12,90,75,1.54,US,1670261809
170,poronaysk,49.2167,143.1167,-11.21,71,15,4.56,RU,1670261809
171,gushikawa,26.3544,127.8686,18.57,91,75,8.23,JP,1670261810
172,maturin,9.75,-63.1767,30.45,54,82,1.68,VE,1670261810
173,hamilton,39.1834,-84.5333,8.82,60,100,4.12,US,1670261810
174,kaitangata,-46.2817,169.8464,7.58,96,100,2.64,NZ,1670261674
175,borovichi,58.3878,33.9155,-7.91,91,100,2.75,RU,1670261737
176,mwingi,-0.9344,38.0601,18.8,84,100,0.92,KE,1670261811
177,east london,-33.0153,27.9116,17.52,77,0,4.63,ZA,1670261624
178,cozumel,20.5083,-86.9458,30.04,65,40,4.12,MX,1670261635
179,alice springs,-23.7,133.8833,21.75,30,20,3.09,AU,1670261563
180,kruisfontein,-34.0033,24.7314,17.71,82,3,4.54,ZA,1670261812
181,mareeba,-17.0,145.4333,19.13,92,2,0.78,AU,1670261813
182,flinders,-34.5833,150.8552,18.43,85,74,2.68,AU,1670261813
183,faanui,-16.4833,-151.75,26.32,77,37,7.99,PF,1670261702
184,cockburn town,21.4612,-71.1419,25.65,69,3,9.55,TC,1670261814
185,lindi,-10.0,39.7167,24.81,88,99,1.78,TZ,1670261814
186,narsaq,60.9167,-46.05,-5.23,72,68,3.77,GL,1670261815
187,kapaa,22.0752,-159.319,22.18,89,100,1.54,US,1670261815
188,pemba,-12.974,40.5178,27.39,83,20,5.66,MZ,1670261816
189,mana,5.6592,-53.7767,28.63,64,100,3.28,GF,1670261816
190,zhovti vody,48.3473,33.5003,-4.67,56,72,5.31,UA,1670261816
191,nadadores,27.05,-101.6,20.38,77,20,0.0,MX,1670261817
192,ambon,-3.6954,128.1814,25.69,15,40,3.6,ID,1670261817
193,ashtian,34.5217,50.0019,-0.95,87,69,3.13,IR,1670261818
194,clyde river,70.4692,-68.5914,-11.87,92,100,2.06,CA,1670261818
195,vizinga,61.0749,50.1031,-14.24,88,75,2.3,RU,1670261819
196,chicama,-7.8447,-79.1469,19.3,55,5,4.65,PE,1670261819
197,vernon,50.2581,-119.2691,-5.8,70,44,0.51,CA,1670261728
198,kanniyakumari,8.0833,77.5667,26.48,80,99,7.17,IN,1670261820
199,kayerkan,69.3497,87.7602,-4.15,100,100,7.61,RU,1670261820
200,bireun,5.203,96.7009,24.97,87,100,1.19,ID,1670261820
201,dingle,10.9995,122.6711,23.99,93,88,3.15,PH,1670261821
202,eyl,7.9803,49.8164,26.11,71,90,8.1,SO,1670261821
203,nuuk,64.1835,-51.7216,5.34,70,100,15.43,GL,1670261822
204,thompson,55.7435,-97.8558,-29.91,63,20,3.6,CA,1670261637
205,yar-sale,66.8333,70.8333,-16.24,95,19,3.13,RU,1670261822
206,bialogard,54.007,15.9875,2.19,85,100,2.14,PL,1670261823
207,kloulklubed,7.0419,134.2556,24.28,75,88,4.86,PW,1670261824
208,sitka,57.0531,-135.33,-0.06,86,75,2.06,US,1670261681
209,mackenzie,55.2999,-123.1698,-11.88,85,100,1.03,CA,1670261825
210,kavaratti,10.5669,72.642,27.88,73,22,1.98,IN,1670261825
211,luanshya,-13.1367,28.4166,22.22,58,100,3.51,ZM,1670261826
212,yining,29.0361,114.5636,5.33,88,98,0.38,CN,1670261794
213,hobyo,5.3505,48.5268,26.64,79,72,7.33,SO,1670261638
214,padang,-0.9492,100.3543,24.03,89,100,1.86,ID,1670261827
215,gornyak,50.9942,81.4661,-16.34,97,100,1.08,RU,1670261827
216,san policarpo,12.1791,125.5072,26.87,76,100,4.63,PH,1670261828
217,hearst,49.6835,-83.6665,-7.86,84,53,1.44,CA,1670261702
218,san cristobal,7.7669,-72.225,20.1,66,43,1.7,VE,1670261606
219,beyneu,45.3167,55.2,-5.9,52,97,4.06,KZ,1670261671
220,tazovskiy,67.4667,78.7,-8.53,93,100,7.94,RU,1670261829
221,acarau,-2.8856,-40.12,29.84,61,16,9.64,BR,1670261829
222,gat,31.61,34.7642,18.38,100,9,1.68,IL,1670261830
223,kribi,2.95,9.9167,26.71,83,97,3.34,CM,1670261830
224,chikwawa,-16.0335,34.8009,29.24,51,70,2.89,MW,1670261831
225,dzerzhinsk,56.2389,43.4631,-14.1,85,0,4.0,RU,1670261832
226,barcelos,41.5388,-8.6151,13.08,84,100,2.42,PT,1670261827
227,waingapu,-9.6567,120.2641,25.75,84,100,1.83,ID,1670261832
228,ostrovnoy,68.0531,39.5131,-6.9,90,100,8.33,RU,1670261677
229,hofn,64.2539,-15.2082,0.01,80,40,2.06,IS,1670261665
230,mayumba,-3.432,10.6554,25.85,90,96,3.17,GA,1670261833
231,warrnambool,-38.3833,142.4833,12.37,69,34,5.31,AU,1670261834
232,port blair,11.6667,92.75,27.16,83,100,9.13,IN,1670261834
233,pisco,-13.7,-76.2167,21.03,73,100,5.14,PE,1670261690
234,pindobacu,-10.7417,-40.3608,24.9,77,100,3.67,BR,1670261835
235,beruwala,6.4788,79.9828,24.86,85,100,1.88,LK,1670261835
236,zhoucun,36.8167,117.8167,-0.43,38,0,0.98,CN,1670261836
237,sarahan,31.5167,77.8,5.18,29,21,3.5,IN,1670261836
238,aykhal,66.0,111.5,-23.19,96,100,6.42,RU,1670261837
239,yuzhne,46.6221,31.1013,0.01,74,100,6.26,UA,1670261838
240,lasa,46.6166,10.7002,4.46,95,90,2.29,IT,1670261838
241,sao jose da coroa grande,-8.8978,-35.1478,26.78,77,59,5.4,BR,1670261839
242,khash,28.2211,61.2158,9.38,40,1,1.96,IR,1670261839
243,terrace,54.5163,-128.6035,-11.05,67,20,6.17,CA,1670261554
244,mastic beach,40.7668,-72.8521,10.06,61,0,5.14,US,1670261637
245,inyonga,-6.7167,32.0667,20.01,71,100,2.74,TZ,1670261840
